symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,323.75,334.2791697184245,323.74750264485675,312.4804013061523,269.9969860839844,259.9330195617676,331.61129634684715,206.75854823075167,351.0,True,True,True,True,True,True,True,False,False,2.7330792857266584,noise,36.19031397641655,False,False,Capital Markets,Stockbroking & Allied,33.33333333333333,False,False
AUROPHARMA.NS,1464.0999755859375,1445.4916687011719,1456.0027770996094,1429.0939990234374,1278.953330078125,1230.2914993286133,1454.6879903841889,1016.0999755859375,1550.0,True,True,True,True,True,True,True,True,False,26.56927489616048,noise,46.17318272939027,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,66.66666666666666,False,False
BAJAJCON.NS,566.25,563.1541646321615,526.7124998304579,496.6600006103516,372.8066672770182,341.4311004638672,563.6283860586303,168.25,594.7999877929688,True,True,True,True,True,True,True,True,False,225.02008726464794,noise,66.33504463041444,False,False,Personal Products,Personal Care,100.0,True,True
NIFTYSMLCAP250.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,False,Index,Index,,False,False
