symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-07-17,328.95001220703125,339.9541651407878,339.44444359673395,334.9150012207031,283.50135396321616,275.11551391601563,337.36647545492303,206.75854823075167,360.45001220703125,True,True,True,True,False,True,True,False,False,24.968685466671168,red,107.11153153287181,False,False,False,False,Capital Markets,Stockbroking & Allied,50.0,False,False
AUROPHARMA.NS,2026-07-17,1533.4000244140625,1566.9000040690105,1507.3472188313801,1501.7619970703124,1336.5499967447918,1290.4639984130858,1553.0487176034185,1016.0999755859375,1636.800048828125,True,True,True,True,True,True,True,False,False,35.17970188739794,noise,39.890986092109685,False,False,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-07-17,525.6500244140625,607.8791758219401,592.3027818467882,578.9130029296875,429.99100189208986,389.2252013397217,589.0728983087611,220.10000610351562,692.0,True,True,True,True,False,True,True,False,False,126.00826394175235,red,117.03008508152615,False,False,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-07-17,18003.5,17996.745768229168,17524.034559461805,17347.4159765625,16407.041966145833,16558.79525390625,17990.688106454025,14143.4501953125,18194.80078125,True,False,True,True,True,False,True,True,False,1.243084001144923,dry,,False,False,False,False,Index,Index,25.0,False,False
