symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-07-23,306.04998779296875,329.55647532145184,336.1079839070638,334.86853271484375,284.3234396362305,276.3514408874512,324.2141541135398,206.12108714450565,359.3387168134344,True,True,True,True,False,True,True,False,False,15.270998131047374,noise,65.00835669190919,False,False,False,False,Capital Markets,Stockbroking & Allied,50.0,False,False
AUROPHARMA.NS,2026-07-23,1523.4000244140625,1553.3250020345051,1520.308329264323,1506.0239965820313,1346.3506632486979,1299.6984979248048,1548.6610426477023,1016.0999755859375,1636.800048828125,True,True,True,True,True,True,True,False,False,34.19205096842699,noise,33.566641133784536,False,False,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-07-23,555.9000244140625,581.3458404541016,589.8250037299263,579.2890026855468,437.5080019124349,395.23525146484377,561.4347732680852,220.10000610351562,692.0,True,True,True,True,False,True,True,False,False,126.61123881886733,green,155.03008227099326,False,False,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-07-23,17651.25,17965.7958984375,17627.941569010418,17403.49796875,16450.864296875,16576.24451171875,17926.8225145807,14143.4501953125,18194.80078125,True,False,True,True,True,False,True,False,False,-1.6761244980553203,dry,,False,False,False,False,Index,Index,25.0,False,False
