symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,337.54998779296875,337.3875045776367,323.72083536783856,308.6644012451172,268.95684315999347,259.321389465332,334.1378610877189,206.75854823075167,351.0,True,True,True,True,True,True,True,True,False,4.840039112039918,noise,37.299306072705214,False,False,Capital Markets,Stockbroking & Allied,33.33333333333333,False,False
AUROPHARMA.NS,1449.0,1445.3333333333333,1453.0916646321614,1423.1119995117188,1274.4446638997397,1226.597999572754,1452.373429790733,1016.0999755859375,1550.0,True,True,True,True,True,True,True,False,False,27.728046252452685,noise,89.73911450459732,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,66.66666666666666,False,False
BAJAJCON.NS,582.2000122070312,562.1166636149088,521.1388888888889,488.0390008544922,369.03493408203127,338.08500045776367,563.1004312693931,168.25,594.7999877929688,True,True,True,True,True,True,True,True,False,234.5400311962144,noise,42.42925555976768,False,True,Personal Products,Personal Care,100.0,True,True
NIFTYSMLCAP250.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,False,Index,Index,,False,False
