symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
AUROPHARMA.NS,2026-08-07,1658.0,1575.1749979654949,1561.7083265516494,1528.2619946289062,1373.9753295898438,1325.6979962158202,1591.7273451003784,1016.0999755859375,1662.4000244140625,True,True,True,True,True,True,True,True,False,52.625059106755344,green,162.60045168346448,False,False,True,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True,95397.65,206.47,1245315.0,0.2164,—
NIFTYSMLCAP250.NS,2026-08-07,18356.55078125,17996.6708984375,17929.562554253473,17674.209921875,16568.176647135417,16635.9075,18143.07334459271,14143.4501953125,18407.75,True,False,True,True,True,False,True,True,False,6.100785514969398,dry,,False,False,False,False,Index,Index,25.0,False,False,,,,,—
