symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-08-04,300.3500061035156,306.0750020345052,328.844361199273,330.5409326171875,287.2579692586263,279.3267389678955,305.1035926184161,206.12108714450565,359.3387168134344,True,True,True,True,False,True,True,False,False,17.70844371387641,noise,76.78452145893321,False,False,False,False,Capital Markets,Stockbroking & Allied,50.0,False,False
AUROPHARMA.NS,2026-08-04,1585.9000244140625,1559.5583190917969,1545.111100938585,1517.0199951171876,1365.3693294270834,1317.9779962158202,1565.6791324273547,1016.0999755859375,1636.800048828125,True,True,True,True,True,True,True,True,False,37.46572269613559,green,186.84351718815978,False,False,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-08-04,544.2000122070312,536.6541646321615,583.5861138237847,578.2680017089843,450.52400146484376,405.21860122680664,542.9333494597585,220.10000610351562,692.0,True,True,True,True,False,True,True,True,False,137.98487626914965,noise,86.80048526625112,False,False,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-08-04,18194.30078125,17909.2958984375,17849.577799479168,17595.254921875,16533.887649739583,16616.167998046876,17973.905050492667,14143.4501953125,18277.55078125,True,False,True,True,True,False,True,True,False,4.685580793420585,dry,,False,False,True,False,Index,Index,25.0,False,False
