symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,335.6000061035156,331.7083384195964,317.67916785346137,296.1030630493164,265.4998502604167,256.9171976470947,333.6376843196775,206.75854823075167,351.0,True,True,True,True,True,True,True,True,False,13.976174011676058,noise,60.14270433123797,False,False,Capital Markets,Stockbroking & Allied,33.33333333333333,False,False
AUROPHARMA.NS,1433.699951171875,1481.2916666666667,1436.7472229003906,1399.707998046875,1258.1619962565105,1213.181448059082,1460.0748575447133,1016.0999755859375,1550.0,True,True,True,True,True,True,True,False,False,21.863130988492664,noise,93.15634341021338,False,True,Pharmaceuticals & Biotechnology,Pharmaceuticals,66.66666666666666,False,False
BAJAJCON.NS,559.0499877929688,550.3083292643229,500.92083231608075,462.8429998779297,357.1874007161458,327.89385025024416,551.5525134503723,168.25,581.0,True,True,True,True,True,True,True,True,False,215.18859062019317,noise,39.261028449561266,False,True,Personal Products,Personal Care,100.0,True,True
NIFTYSMLCAP250.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,False,Index,Index,,False,False
