symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
KPITTECH.NS,784.7000122070312,734.5291697184244,734.1916673448351,714.3970007324219,964.1636942545573,1025.3357144165038,748.1373619603378,624.9000244140625,1424.2414281315198,False,False,False,False,True,False,False,True,True,-40.133911841378854,noise,97.42749621078538,False,IT - Software,Computers - Software & Consulting,9.293129016312406,False,False
RACLGEAR.NS,1366.9000244140625,1306.7083435058594,1303.2472296820747,1286.1800024414063,1180.0608276367188,1128.7417709350586,1337.6107817816282,804.2043907437434,1690.2278315095687,True,True,True,True,True,True,True,True,True,46.69014464594128,red,104.25632679448678,False,Auto Components,Auto Components & Equipments,89.32278793870489,True,True
CPS.NS,989.0,980.6291707356771,980.1638895670573,991.4109985351563,1036.8103312174478,956.1287481689453,982.6290836844191,660.0,1349.25,False,True,True,False,False,True,False,True,True,26.139916510163765,green,708.6614173228346,True,Textiles & Apparels,Garments & Apparels,81.95748887790411,True,False
