symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
TRANSRAILL.NS,519.0999755859375,514.7791620890299,552.3791656494141,535.1819995117188,569.8876670328776,618.9956245422363,517.2724376321041,450.04998779296875,854.9201897640684,False,False,False,False,False,False,False,True,False,-7.694436584934639,green,124.24936966509227,False,Electrical Equipment,Heavy Electrical Equipment,50.42016806722689,False,False
MAHLOG.NS,353.79998779296875,362.6208318074544,390.18611314561633,382.52600158691405,357.184667561849,351.9910006713867,362.01513070130534,275.04998779296875,450.0,False,True,False,True,False,False,True,False,False,10.31683938982464,noise,43.31005921187851,False,Transport Services,Logistics Solution Provider,71.280276816609,True,False
GODFRYPHLP.NS,2298.39990234375,2353.5000203450522,2220.063900417752,2149.926008300781,2418.4963045247396,2665.934719848633,2324.973244326139,1832.0999755859375,3924.862320700016,False,False,False,False,True,False,False,False,False,-16.25149940948798,noise,40.971629487859204,False,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,37.37024221453287,False,False
PVSL.NS,108.0,104.67750040690105,102.79611184861925,98.89660064697266,114.20853378295898,118.4578503036499,105.46774042075563,82.41000366210938,163.0,False,False,False,False,True,True,False,True,False,-4.1278308592039075,noise,27.491966651354353,False,Automobiles,Auto Dealer,55.017301038062286,False,False
KPRMILL.NS,946.25,933.9125061035156,921.499998304579,898.5320007324219,940.2787683105469,961.82625,942.1069700372805,796.0999755859375,1253.4997113719642,False,False,False,False,True,False,True,True,False,-19.5438387414277,noise,21.025639548357972,False,Textiles & Apparels,Other Textile Products,32.278793870489366,False,False
KIRLFER.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,Ferrous Metals,Pig Iron,,False,False
RAYMONDLSL.NS,721.9000244140625,752.8708343505859,784.1138949924045,784.2080065917969,955.0013321940104,1014.6350006103515,742.9916288907575,710.0,1411.9000244140625,False,False,False,False,False,False,False,False,False,-29.401982002641958,red,110.59956754419815,False,Textiles & Apparels,Other Textile Products,19.871478002965894,False,False
THOMASCOOK.NS,92.77999877929688,93.27583249409993,98.10277790493436,96.94159973144531,122.99419982910156,133.73181983947754,93.3774897735601,86.3499984741211,187.79413618973595,False,False,False,False,False,False,False,False,False,-44.9523817456176,noise,67.42228244781178,False,Leisure Services,"Tour, Travel Related Services",6.277805239742956,False,False
SKYGOLD.NS,480.29998779296875,464.27083587646484,440.10833316379126,410.93999938964845,363.1513326009115,344.7289994812012,468.8216773816838,246.0500030517578,549.9000244140625,True,True,True,True,True,True,True,True,False,41.01584826366542,noise,53.321022958055394,False,Consumer Durables,"Gems, Jewellery And Watches",87.74097874443895,True,True
OBEROIRLTY.NS,1693.699951171875,1641.5308329264324,1660.2999267578125,1602.0628979492187,1617.3149820963542,1617.1919482421874,1661.5877105907102,1389.4810149139053,1995.1805514435841,True,True,False,False,True,False,True,True,False,-1.7243720375647364,noise,60.2980258889408,False,Realty,"Residential, Commercial Projects",57.93376173999011,False,False
GLAND.NS,2307.89990234375,2111.508341471354,1883.9277852376301,1820.8620043945311,1795.0286694335937,1833.1314721679687,2186.7909111006657,1442.7594960788113,2396.0,True,False,False,False,True,True,True,True,False,48.24665931117502,red,230.58249930243537,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,89.7676717745922,True,False
ELITECON.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,,False,False
EMMVEE.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,green,143.53716145258227,False,Electrical Equipment,Other Electrical Equipment,,False,False
ISGEC.NS,1045.5999755859375,1066.9666646321614,1043.5152757432725,1003.1059985351562,895.4686645507812,916.7966226196289,1064.1307322008017,683.9500122070312,1274.9372016354962,True,False,False,True,True,True,True,False,False,-10.637105201219887,noise,55.93145618602337,False,Construction,Civil Construction,45.92189817103312,False,False
AEGISLOG.NS,715.0999755859375,693.3500010172526,684.9013892279731,663.5630004882812,711.1723327636719,719.0660003662109,709.1143053322054,576.0999755859375,944.5999755859375,False,False,False,False,True,False,True,True,False,-22.345618460698248,noise,32.76514733274753,False,Gas,Trading - Gas,28.62086010874938,False,False
KPITTECH.NS,784.7000122070312,734.5291697184244,734.1916673448351,714.3970007324219,964.1636942545573,1025.3357144165038,748.1373619603378,624.9000244140625,1424.2414281315198,False,False,False,False,True,False,False,True,True,-40.133911841378854,noise,97.42749621078538,False,IT - Software,Computers - Software & Consulting,9.293129016312406,False,False
ABBOTINDIA.NS,27610.0,27621.666666666668,26340.416666666668,26362.8,27633.7,28548.025,27516.79507529542,25150.0,36491.75796901832,False,False,False,False,True,False,True,True,False,-10.115457311594856,red,116.57193479343277,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,46.56450815620366,False,False
ENTERO.NS,1283.5,1246.2000122070312,1234.0750020345051,1203.9380053710938,1126.5206693522136,1138.8145016479493,1274.096014895567,944.0,1510.800048828125,True,False,False,True,True,True,True,True,False,-8.621670061998966,red,518.8270587795622,False,Retailing,Pharmacy Retail,48.78892733564014,False,False
KALPATARU.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,dry,12.299270131056101,False,Realty,"Residential, Commercial Projects",,False,False
SUNDRMFAST.NS,868.2000122070312,845.125,827.0517951117622,816.98701171875,892.4646309407552,916.9368661499024,849.7766185142054,726.5272499221361,1070.497183450401,False,False,False,False,True,False,True,True,False,-11.738509355926286,noise,54.40993556768148,False,Auto Components,Auto Components & Equipments,44.4389520514088,False,False
VGUARD.NS,314.45001220703125,315.63333384195965,324.3791664971246,323.5309997558594,331.75500061035154,340.18075103759764,313.62445220599244,290.0,408.1707953417069,False,False,False,False,False,False,True,True,False,-18.45347833309472,noise,85.89292269631098,False,Consumer Durables,Household Appliances,34.008897676717744,False,False
POLYPLEX.NS,905.7000122070312,911.6500040690104,900.7916666666666,877.085,864.4811759440104,908.9968161010743,918.9513449608731,740.0,1388.5955728931378,False,False,False,False,True,False,False,False,False,-33.09114193517028,noise,42.83769822397875,False,Industrial Products,Packaging,15.966386554621847,False,False
ATUL.NS,7018.0,6989.583333333333,6773.5,6633.35,6267.556666666666,6279.11,7005.268771092788,5560.5,7762.057307316706,True,False,False,True,True,False,True,True,False,-2.1680335227913905,noise,55.67529814448437,False,Chemicals & Petrochemicals,Specialty Chemicals,57.53830944142363,False,False
RAILTEL.NS,324.04998779296875,322.74166615804035,320.129998948839,305.4681997680664,328.709992574056,337.6839415740967,323.8935644491512,245.0,474.823639111556,False,False,False,False,True,True,False,True,False,-14.163315293176137,noise,21.50015634522924,False,Telecom - Services,Other Telecom Services,40.68215521502719,False,False
SKIPPER.NS,501.8999938964844,461.7458318074544,444.8708326551649,417.12699951171874,425.583999226888,451.5952601623535,471.02704280345904,327.04998779296875,587.8915976423116,True,False,False,False,True,True,True,True,False,1.1368025592386033,green,230.74565304651534,False,Electrical Equipment,Heavy Electrical Equipment,61.49283242708849,False,False
BBOX.NS,978.25,905.0208333333334,689.3736114501953,633.1260009765625,564.71,547.6808082580567,916.8060723356625,435.04998779296875,1037.3499755859375,True,True,True,True,True,True,True,True,False,116.59165252465628,ppv,230.73302236603527,False,IT - Services,IT Enabled Services,96.7869500741473,True,True
GVT&D.NS,4848.2998046875,4542.1416015625,4371.558315700955,4178.495981445312,3491.8919921875,3338.8244921875,4658.650498502997,1801.798722201456,4962.39990234375,True,True,True,True,True,True,True,True,False,162.11121459011753,noise,64.7828505129976,False,Electrical Equipment,Heavy Electrical Equipment,98.31932773109243,True,True
TRIDENT.NS,24.450000762939453,24.37556028366089,24.940357632107204,24.476652221679686,25.773585192362468,26.312536897659303,24.442846955290555,21.533432302754022,32.976130029692165,False,False,False,False,False,False,False,True,False,-22.91001878411142,noise,37.16695851980379,False,Textiles & Apparels,Other Textile Products,27.68166089965398,False,False
PNCINFRA.NS,211.1999969482422,215.5808334350586,208.97472169664172,201.1416000366211,229.8372664388021,247.9013119506836,214.09230305853407,158.1699981689453,331.1507795571959,False,False,False,False,True,True,False,False,False,-28.120222604370593,noise,86.4311663946379,False,Construction,Civil Construction,21.15669797330697,False,False
GPIL.NS,285.3999938964844,290.1458282470703,294.1624984741211,285.5559985351563,265.94586578369143,258.45989814758303,290.98259905416563,174.5115478112131,320.0,True,True,True,True,False,True,True,False,False,43.85510054873289,noise,52.03596767833735,False,Industrial Products,Iron & Steel Products,88.38358872960949,True,False
RANEHOLDIN.NS,1384.699951171875,1355.5416564941406,1182.173607720269,1152.00599609375,1298.1006640625,1356.625498046875,1372.533983059094,981.0,1798.0,True,False,False,False,True,True,True,True,False,-5.73043059485141,noise,38.145376820822925,False,Finance,Holding Company,53.04003954522985,False,False
