symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-08-03,302.0,308.3738199869792,330.25724453396265,331.40169311523437,286.8320068359375,279.0244358062744,306.159945177283,206.12108714450565,359.3387168134344,True,True,True,True,False,True,True,False,False,16.549198071319715,noise,67.96266025343381,False,False,False,False,Capital Markets,Stockbroking & Allied,50.0,False,False
AUROPHARMA.NS,2026-08-03,1554.699951171875,1555.1833190917969,1540.1777682834202,1514.5259936523437,1362.8379956054687,1315.6724963378906,1561.1856008747532,1016.0999755859375,1636.800048828125,True,True,True,True,True,True,True,False,False,34.749667677986416,red,127.3817505693003,False,False,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-08-03,523.7999877929688,534.9541625976562,583.0194464789497,577.8600012207031,450.38800130208335,405.11660110473633,539.2242541117471,220.10000610351562,692.0,True,True,True,True,False,True,True,False,False,129.0637127682908,red,142.78517956880637,False,False,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-08-03,18166.650390625,17893.395833333332,17818.599989149305,17566.874921875,16523.030305989585,16610.235498046874,17924.928221435483,14143.4501953125,18194.80078125,True,False,True,True,True,False,True,True,False,2.4356272781797195,dry,,True,False,False,False,Index,Index,25.0,False,False
