symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-08-26,298.8500061035156,291.62499745686847,306.8466033935547,316.5239147949219,292.69725056966143,282.9097340393066,293.5904237855799,206.12110217790155,359.3387168134344,True,True,True,True,False,True,True,True,False,24.491787919256613,red,148.95530699763802,False,False,False,False,Capital Markets,Stockbroking & Allied,50.0,False,False
AUROPHARMA.NS,2026-08-26,1623.0,1632.1083374023438,1590.3305562337239,1577.9699951171874,1412.2639973958333,1359.3479968261718,1621.5525530969444,1016.0999755859375,1682.4000244140625,True,True,True,True,True,True,True,True,False,54.51256305000061,noise,60.0875595119567,False,False,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-08-26,463.5,493.3875045776367,537.0166685316298,556.1070025634766,476.8196682739258,424.63200134277344,483.44592340309805,220.10000610351562,692.0,False,True,True,True,False,True,False,False,False,102.7736443639442,noise,51.81599022599956,False,True,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-08-26,18455.75,18348.71240234375,18123.012532552082,18029.80203125,16725.67397135417,16706.433740234374,18350.51265279546,14143.4501953125,18514.30078125,True,True,True,True,True,True,True,True,False,8.522065732875706,dry,,True,False,True,False,Index,Index,25.0,False,False
