symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-07-24,307.95001220703125,327.70406850179035,335.3105163574219,334.9094537353516,284.73832814534506,276.7800403594971,321.2570374032655,206.12108714450565,359.3387168134344,True,True,True,True,False,True,True,False,False,11.889417497667608,noise,46.84205098628563,False,False,False,False,Capital Markets,Stockbroking & Allied,50.0,False,False
AUROPHARMA.NS,2026-07-24,1532.0,1551.2083333333333,1522.2083299424912,1506.4279956054688,1348.7099967447916,1301.891997680664,1545.6317621663018,1016.0999755859375,1636.800048828125,True,True,True,True,True,True,True,False,False,35.06814082613185,noise,34.92976508102285,False,False,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-07-24,549.7999877929688,576.0041707356771,589.5750037299263,579.5360021972656,439.4843351236979,396.7712014007568,559.319357727155,220.10000610351562,692.0,True,True,True,True,False,True,True,False,False,131.13465299484614,noise,48.38096908250181,False,True,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-07-24,17601.19921875,17966.07080078125,17645.906846788195,17419.841953125,16459.796627604166,16580.919755859373,17867.61827897512,14143.4501953125,18194.80078125,True,False,True,True,True,False,True,False,False,-2.1258419175911203,dry,,False,False,False,False,Index,Index,25.0,False,False
