symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
MOTHERSON.NS,2026-07-08,140.64999389648438,146.75249989827475,143.7533336215549,138.9002001953125,125.93735794067383,121.23076679229736,145.3143796259857,89.42248454216111,155.25,True,True,True,True,True,True,True,False,False,37.51119429537366,noise,78.19165018732392,False,True,False,False,,Auto Components,Auto Components & Equipments,87.78846153846153,True,True,148121.76,335.08,23823916.0,0.2262
TITAN.NS,2026-07-08,4586.39990234375,4409.0583089192705,4255.761101616754,4256.362016601563,4179.00201171875,4052.9960083007813,4461.790435936737,3303.10009765625,4655.89990234375,True,True,True,True,True,True,True,True,False,24.77155803467681,noise,93.28315534331362,False,True,False,False,,Consumer Durables,"Gems, Jewellery And Watches",82.25961538461539,True,True,406834.43,526.53,1148030.0,0.1294
SOLARINDS.NS,2026-07-08,17971.0,18166.833333333332,18091.583333333332,17579.2,14773.026666666667,14554.73,18221.11187431643,11646.0,18972.0,True,True,True,True,True,True,True,False,False,6.894282708343402,noise,53.97520795744396,False,True,False,False,,Chemicals & Petrochemicals,Explosives,70.24038461538461,True,True,162619.68,294.7,163984.0,0.1812
BELRISE.NS,2026-07-08,225.74000549316406,236.7483367919922,228.14694552951389,224.1880010986328,196.48440083821615,186.4226508331299,232.57174422119184,101.49283925424409,252.0,True,True,True,True,True,True,True,False,False,119.51091111491121,noise,79.0340921800242,False,True,False,False,,Auto Components,Auto Components & Equipments,97.45192307692308,True,True,20088.13,107.35,4755444.0,0.5344
KIRLOSENG.NS,2026-07-08,2277.0,2378.9583536783853,2042.8694593641494,1941.6840063476564,1528.86126953125,1392.4930545043944,2291.2175763318405,824.533942481007,2720.0,True,True,True,True,True,True,True,False,False,170.27548179429388,green,121.66045850955678,False,True,False,False,,Industrial Products,"Compressors, Pumps & Diesel Engines",98.75,True,True,33131.78,175.54,770946.0,0.5298
GRANULES.NS,2026-07-08,859.5499877929688,811.9583333333334,783.6458316379124,768.8139990234375,654.2966662597656,628.7852502441406,827.500388106736,432.6000061035156,879.0999755859375,True,True,True,True,True,True,True,True,False,75.90080065409785,red,123.18690307892615,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,95.14423076923076,True,True,21299.38,116.62,1356803.0,0.5475
CEIGALL.NS,2026-07-08,366.1499938964844,379.1541697184245,364.46944512261285,360.06700012207034,303.2208004760742,291.24395004272463,374.91433559738687,222.61000061035156,405.70001220703125,True,True,True,True,True,True,True,False,False,37.23763517583409,noise,94.97632532935023,False,True,False,False,,Construction,Civil Construction,87.6923076923077,True,True,6378.51,24.65,673152.0,0.3864
GANDHAR.NS,2026-07-08,189.7899932861328,183.4908307393392,169.07416492038303,162.80639862060548,148.46954610188803,145.7115518951416,184.79980848014378,115.0,195.8000030517578,True,True,True,True,True,True,True,True,False,9.56323053262922,noise,98.15517637989701,False,True,False,False,,Petroleum Products,Lubricants,72.35576923076923,True,True,1857.66,18.32,965232.0,0.9861
AVALON.NS,2026-07-08,1631.199951171875,1748.3833414713542,1641.3055623372395,1529.8900024414063,1141.8176696777343,1126.3832525634766,1720.566131650853,777.2999877929688,1853.0,True,True,True,True,True,True,True,False,False,95.9870209174663,noise,63.505378971395665,False,True,False,False,,Electrical Equipment,Other Electrical Equipment,96.4423076923077,True,True,10898.33,83.32,510783.0,0.7645
MBAPL.NS,2026-07-08,118.05000305175781,116.25666618347168,111.87357881334093,111.08995651245117,96.96009770711262,93.4482844543457,116.86742544241304,74.56403046577304,126.94999694824219,True,True,True,True,True,True,True,True,False,39.939661447141276,green,161.76148008594174,False,True,False,False,,Fertilizers & Agrochemicals,Fertilizers,88.60576923076923,True,True,5172.18,13.12,1111554.0,0.2537
MAWANASUG.NS,2026-07-08,108.43000030517578,105.8013858795166,101.5331350962321,102.95170913696289,89.22634373982747,87.89525524139404,106.36035135318761,72.43959449258234,119.39797150314166,True,True,True,True,True,True,True,True,False,11.878797039003297,noise,40.194195608156456,False,True,False,False,,Agricultural Food & other Products,Sugar,74.42307692307692,True,True,424.14,1.51,139258.0,0.356
MANAKSTEEL.NS,2026-07-08,79.72000122070312,75.64416758219402,70.52861171298557,68.99780036926269,63.83566670735677,62.875700092315675,76.87666469729584,45.11000061035156,87.12999725341797,True,True,True,True,True,True,True,True,False,24.271238229890123,red,238.83040733031203,False,True,False,False,,Ferrous Metals,Iron & Steel,82.01923076923077,True,True,522.44,0.67,83551.0,0.1275
ANANDRATHI.NS,2026-07-08,2059.800048828125,1989.4749959309895,1849.8291625976562,1833.3516235351562,1648.6817106119793,1611.7696826171875,2006.1564030424072,1027.4400586707557,2120.0,True,True,True,True,True,True,True,True,False,96.1617409854075,noise,50.82984934129981,False,True,False,False,,Capital Markets,Financial Products Distributor,96.49038461538461,True,True,34201.18,145.15,704671.0,0.4244
MWL.NS,2026-07-08,373.1000061035156,373.79583231608075,375.40277777777777,368.91200073242186,303.32606638590494,286.0232495880127,374.98844317225894,157.81095619201662,395.5,True,True,True,True,True,True,True,False,False,130.5845392865364,noise,91.14350203552108,False,True,False,False,,Metals & Minerals Trading,Trading - Metals,98.02884615384615,True,True,1108.13,2.58,69154.0,0.2328
PAISALO.NS,2026-07-08,70.41999816894531,65.27999941507976,58.44555515713162,55.50399955749512,42.66066646575928,41.35152264595032,67.38576974447878,29.783536082586807,74.9000015258789,True,True,True,True,True,True,True,True,False,131.4021429183863,ppv,143.67036352357974,False,True,False,False,,Finance,Non Banking Financial Company (NBFC),98.07692307692307,True,True,6404.85,102.84,14603802.0,1.6057
ASTRAMICRO.NS,2026-07-08,1809.300048828125,1760.1499837239583,1523.9361029730903,1409.5719848632812,1110.7793294270834,1095.069996948242,1767.9031455529703,851.0,1871.0,True,True,True,True,True,True,True,True,False,68.47215531761131,noise,72.43939355197524,False,True,False,False,,Aerospace & Defense,Aerospace & Defense,94.375,True,True,17178.4,175.41,969469.0,1.0211
YASHO.NS,2026-07-08,2914.10009765625,2907.6083170572915,2585.1361016167534,2310.2579907226564,1723.3219946289062,1702.726495361328,2897.9030781419897,1130.0,3180.300048828125,True,True,True,True,True,True,True,True,False,39.30950482155693,noise,43.455091697728434,False,True,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,88.3173076923077,True,True,3518.92,10.07,34545.0,0.2861
