symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
CUPID.NS,2026-07-08,196.97999572753906,193.37333170572916,159.74944305419922,149.80499908447266,107.93866643269857,93.90198980331421,196.63883789348475,21.290000915527344,226.0,True,True,True,True,True,True,True,True,False,805.0725798564212,red,346.8851325885708,False,False,False,False,,Personal Products,Personal Care,99.95192307692308,True,True,26487.13,407.49,20686751.0,1.5384
UNIHEALTH.NS,2026-07-07,688.5999755859375,611.6291656494141,511.2027774386936,497.1039990234375,390.61200052897135,339.18625045776366,621.8514014909363,133.64999389648438,688.5999755859375,True,True,True,True,True,True,True,True,False,299.4199535757522,noise,93.47275031685678,False,False,True,False,,Healthcare Services,Hospital,99.66346153846153,True,True,186.34,0.42,34328.0,0.2229
UCL.NS,2026-07-07,194.0,187.57916386922201,166.10138744778104,157.02099884033203,96.02033299763997,83.16099990844727,189.40639043785998,38.0,201.9499969482422,True,True,True,True,True,True,True,True,False,294.30893697492183,dry,0.0,False,False,False,False,,Chemicals & Petrochemicals,Dyes And Pigments,99.5673076923077,True,True,67.03,0.15,24843.0,0.2211
DPEL.NS,2026-07-07,559.1500244140625,493.5124969482422,495.1083297729492,499.34599609375,381.98133209228513,352.9672489929199,507.3505039856687,123.0,561.5499877929688,True,True,True,True,True,True,True,True,False,289.65158495753485,ppv,194.54079324385464,False,False,True,False,,Industrial Products,Cables - Electricals,99.51923076923077,True,True,251.91,0.65,61328.0,0.2581
ATHERENERG.NS,2026-07-08,1200.0,1090.6708374023438,1014.1458333333334,990.2909985351563,811.9913321940104,772.0199990844726,1115.9798466981347,318.6000061035156,1214.0,True,True,True,True,True,True,True,True,False,265.5750190403656,ppv,209.65944711380894,False,False,True,False,,Automobiles,2/3 Wheelers,99.375,True,True,45997.2,587.17,4893073.0,1.2765
THANGAMAYL.NS,2026-07-08,6806.0,6014.1584065755205,5227.208394368489,4844.642045898438,4003.1813525390626,3628.208517456055,6183.630877604481,1750.0999755859375,6949.0,True,True,True,True,True,True,True,True,False,260.72739996070186,ppv,265.62254517415755,False,False,True,False,,Consumer Durables,"Gems, Jewellery And Watches",99.27884615384616,True,True,21154.42,131.62,193395.0,0.6222
SALSTEEL.NS,2026-07-08,59.279998779296875,56.802500089009605,58.12583329942491,58.185399856567386,48.06653335571289,44.77689999580383,57.39474737150225,14.369999885559082,65.5,True,True,True,True,True,True,True,True,False,249.11660999661888,green,102.7646582398282,False,False,False,False,,Ferrous Metals,Sponge Iron,99.23076923076923,True,True,858.18,1.02,172110.0,0.1189
BLISSGVS.NS,2026-07-08,512.9500122070312,503.70589955647785,443.01198916965063,396.21181030273436,264.80201365152993,237.29657691955566,504.0268967001098,117.5147500933485,551.9194964802983,True,True,True,True,True,True,True,True,False,230.69787166813947,noise,23.32825535663166,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.1826923076923,True,True,5440.15,107.86,2102692.0,1.9826
MIRCELECTR.NS,2026-07-07,42.900001525878906,42.1675001780192,40.370833184983994,39.922599945068356,32.489133275349936,30.99034993171692,42.35880886375465,13.6899995803833,49.22999954223633,True,True,True,True,True,True,True,True,False,202.5387912736515,dry,15.58019295754565,False,False,False,False,,Consumer Durables,Consumer Electronics,99.08653846153847,True,True,1411.82,8.13,2128179.0,0.5761
ASCOM.NS,2026-07-07,259.3500061035156,258.6416702270508,249.33750194973416,252.30600036621092,203.5510004679362,179.22525043487548,257.98009120794904,86.05000305175781,285.0,True,True,True,True,True,True,True,True,False,201.3945344633171,dry,0.0,False,False,False,False,,Finance,Non Banking Financial Company (NBFC),99.03846153846155,True,True,157.32,0.02,1429.0,0.0122
