symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,353.70001220703125,340.2000020345052,329.2975031534831,323.9250012207031,273.7644439697266,263.3672763824463,344.72786532717447,206.75854823075167,360.45001220703125,True,True,True,True,True,True,True,True,False,25.07525261818031,noise,96.18446667292426,False,False,Capital Markets,Stockbroking & Allied,33.33333333333333,False,False
AUROPHARMA.NS,1497.800048828125,1448.8416748046875,1460.638888888889,1441.482001953125,1290.5973307291667,1242.1144992065429,1448.6152975945147,1016.0999755859375,1550.0,True,True,True,True,True,True,True,True,False,31.257408648905272,green,191.25300331830047,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,66.66666666666666,False,False
BAJAJCON.NS,625.25,585.8791656494141,551.4249996609158,523.815,385.38633422851564,352.6844006347656,595.9454030721729,168.25,632.5999755859375,True,True,True,True,True,True,True,True,False,258.39159459937196,noise,29.36540370207717,False,False,Personal Products,Personal Care,100.0,True,True
NIFTYSMLCAP250.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,False,Index,Index,,False,False
