Name,Symbol,Industry Group,Industry
Apcotex Industri,APCOTEXIND,Industrial Products,Rubber
Amagi Media Labs,AMAGI,IT - Services,IT Enabled Services
Bombay Dyeing,BOMDYEING,Textiles & Apparels,Other Textile Products
Cams Services,CAMS,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
Balaji Amines,BALAMINES,Chemicals & Petrochemicals,Specialty Chemicals
M B Agro Prod.,MBAPL,Fertilizers & Agrochemicals,Fertilizers
Ritco Logistics,RITCO,Transport Services,Logistics Solution Provider
HLE Glascoat,HLEGLAS,Industrial Manufacturing,Industrial Products
UTI AMC,UTIAMC,Capital Markets,Asset Management Company
Signet Industrie,SIGIND,Commercial Services & Supplies,Trading & Distributors
Ugar Sugar Works,UGARSUGAR,Agricultural Food & other Products,Sugar
Ramco Inds.,RAMCOIND,Other Construction Materials,Other Construction Materials
Dollar Industrie,DOLLAR,Textiles & Apparels,Garments & Apparels
Australian Prem,APS,Electrical Equipment,Heavy Electrical Equipment
Exicom Tele-Sys.,EXICOM,Electrical Equipment,Heavy Electrical Equipment
Jupiter Life Lin,JLHL,Healthcare Services,Hospital
Solara Active,SOLARA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alkyl Amines,ALKYLAMINE,Chemicals & Petrochemicals,Specialty Chemicals
Sundrop Brands,SUNDROP,Agricultural Food & other Products,Edible Oil
Ramdevbaba Sol.,RBS,Agricultural Food & other Products,Edible Oil
Insecticid.India,INSECTICID,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Divine Hira Jew.,DIVINEHIRA,Consumer Durables,"Gems, Jewellery And Watches"
Gloster Ltd,GLOSTERLTD,"Paper, Forest & Jute Products",Jute & Jute Products
Manorama Indust.,MANORAMA,Food Products,Other Food Products
AWFIS Space,AWFIS,Commercial Services & Supplies,Diversified Commercial Services
Jeyyam Global,JEYYAM,Food Products,Other Food Products
Mukka Proteins,MUKKA,Food Products,Animal Feed
Satia Industries,SATIA,"Paper, Forest & Jute Products",Paper & Paper Products
Rikhav Securitie,,Capital Markets,Stockbroking & Allied
