symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-08-21,287.79998779296875,291.4708302815755,310.8761054144965,319.7292156982422,292.0789299519857,282.2626331329346,291.5458899726367,206.12108714450565,359.3387168134344,False,True,True,True,False,True,True,False,False,7.819624673290071,noise,59.07836591232878,False,False,False,False,Capital Markets,Stockbroking & Allied,25.0,False,False
AUROPHARMA.NS,2026-08-21,1621.300048828125,1635.9500020345051,1588.9249979654949,1565.5419946289062,1403.1519962565105,1352.1714965820313,1625.1029334760829,1016.0999755859375,1682.4000244140625,True,True,True,True,True,True,True,False,False,48.78408015752975,noise,62.812653439650944,False,False,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-08-21,478.3500061035156,513.0000025431315,550.1944469875759,564.3860028076172,473.06100168863935,422.2017512512207,502.27877158981715,220.10000610351562,692.0,True,True,True,True,False,True,False,False,False,107.16761314336219,noise,62.67113334392571,False,False,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-08-21,18414.44921875,18338.91259765625,18091.056966145832,17961.056015625,16681.753307291667,16691.34349609375,18310.949643469838,14143.4501953125,18447.099609375,True,False,True,True,True,True,True,True,False,10.082250543948778,dry,,False,False,True,False,Index,Index,50.0,False,False
