symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-08-18,291.75,294.36666615804035,315.39277903238934,322.67616455078127,290.6655272420247,281.31496185302734,293.8775019069569,206.12108714450565,359.3387168134344,True,True,True,True,False,True,True,False,False,12.995614239337772,red,118.1098020949544,False,False,False,False,Capital Markets,Stockbroking & Allied,50.0,False,False
AUROPHARMA.NS,2026-08-18,1645.0,1627.6333312988281,1584.008327907986,1550.0699975585937,1387.3766625976561,1338.064496459961,1630.890865115678,1016.0999755859375,1682.4000244140625,True,True,True,True,True,True,True,True,False,57.85433629581196,noise,48.79692201715245,False,True,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-08-18,484.04998779296875,524.0333353678385,562.20972527398,570.6420031738281,467.3070016479492,417.86470123291014,515.1074045688858,220.10000610351562,692.0,True,True,True,True,False,True,False,False,False,117.32590898313356,noise,79.16320283778386,False,False,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-08-18,18346.75,18274.850260416668,18012.72092013889,17781.6909765625,16611.293990885417,16660.5280078125,18278.64328147133,14143.4501953125,18427.849609375,True,False,True,True,True,False,True,True,False,7.740481947416522,dry,,True,True,False,False,Index,Index,25.0,False,False
