symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-07-30,291.6499938964844,314.72040303548175,331.9587749905056,333.0764050292969,286.1153657023112,278.35240264892576,309.1142363793171,206.12110217790155,359.3387168134344,True,True,True,True,False,True,True,False,False,13.98770117214221,red,223.70483738489253,False,False,False,False,Capital Markets,Stockbroking & Allied,50.0,False,False
AUROPHARMA.NS,2026-07-30,1576.300048828125,1552.1583251953125,1534.6777716742622,1510.1899951171874,1358.1346630859375,1311.333497314453,1558.7217241848166,1016.0999755859375,1636.800048828125,True,True,True,True,True,True,True,True,False,40.91708699001919,noise,58.64953771358037,False,False,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-07-30,538.0999755859375,541.1416676839193,586.0750037299263,579.5730017089844,446.92066833496096,402.50205123901367,546.774511796657,220.10000610351562,692.0,True,True,True,True,False,True,True,False,False,133.2466331617078,noise,38.365610611620426,False,False,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-07-30,17845.599609375,17903.424967447918,17744.68603515625,17514.6309375,16499.785631510418,16599.82974609375,17860.392582329554,14143.4501953125,18194.80078125,True,False,True,True,True,False,True,False,False,0.09170104953937219,dry,,False,True,False,False,Index,Index,25.0,False,False
