symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,354.79998779296875,341.625,330.5777808295356,325.401201171875,274.3495477294922,264.0260004425049,346.55916032095524,206.75854823075167,360.45001220703125,True,True,True,True,True,True,True,True,False,25.757418913511955,noise,32.50603708349241,False,True,Capital Markets,Stockbroking & Allied,33.33333333333333,False,False
AUROPHARMA.NS,1491.9000244140625,1451.2000122070312,1463.4833340115017,1444.332001953125,1292.6526643880209,1244.434499206543,1456.4852479253416,1016.0999755859375,1550.0,True,True,True,True,True,True,True,True,False,34.94640301408929,red,129.5200492174499,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,66.66666666666666,False,False
BAJAJCON.NS,619.7000122070312,590.9541676839193,556.1263885498047,527.5640002441406,387.72566772460937,354.59080070495605,600.2644229148743,168.25,632.5999755859375,True,True,True,True,True,True,True,True,False,257.54672629790383,noise,22.645495844632187,False,True,Personal Products,Personal Care,100.0,True,True
NIFTYSMLCAP250.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,False,Index,Index,,False,False
