symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,352.29998779296875,335.7708333333333,325.3050028483073,316.6874008178711,271.32545176188154,260.9040283203125,336.5464027730573,206.75854823075167,356.1499938964844,True,True,True,True,True,True,True,True,False,14.944147247468775,ppv,145.82644768756313,False,False,Capital Markets,Stockbroking & Allied,33.33333333333333,False,False
AUROPHARMA.NS,1408.300048828125,1446.2666727701824,1456.888888888889,1433.2000024414062,1282.775997721354,1234.2599996948243,1448.9481749937545,1016.0999755859375,1550.0,True,True,True,True,False,True,True,False,False,20.72648146082383,red,236.10470650164376,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,66.66666666666666,False,False
BAJAJCON.NS,592.4000244140625,568.3666687011719,534.1208343505859,505.8980010986328,376.7676676432292,345.0734506988525,573.0281012174507,168.25,620.8499755859375,True,True,True,True,True,True,True,True,False,224.92321227291336,noise,63.739670283053606,False,False,Personal Products,Personal Care,100.0,True,True
NIFTYSMLCAP250.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,False,Index,Index,,False,False
