symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
ANGELONE.NS,2026-07-28,302.6000061035156,321.1847839355469,333.93633948432074,334.44542114257814,285.5152863566081,277.62234817504884,315.32744118734206,206.12110217790155,359.3387168134344,True,True,True,True,False,True,True,False,False,10.279707664595472,noise,48.82192198634632,False,False,False,False,Capital Markets,Stockbroking & Allied,50.0,False,False
AUROPHARMA.NS,2026-07-28,1549.199951171875,1546.75,1527.3333265516494,1508.133994140625,1353.3519962565103,1306.4519976806641,1546.841091741362,1016.0999755859375,1636.800048828125,True,True,True,True,True,True,True,True,False,39.163698396481664,noise,39.78430376616933,False,True,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.0,True,True
BAJAJCON.NS,2026-07-28,530.9500122070312,555.8375040690104,588.0305599636501,580.0110021972656,443.27933512369793,399.68790130615236,551.4137835124059,220.10000610351562,692.0,True,True,True,True,False,True,True,False,False,116.65238353896305,noise,24.04567324452386,False,False,False,False,Personal Products,Personal Care,100.0,True,False
NIFTYSMLCAP250.NS,2026-07-28,17741.44921875,17973.49169921875,17671.241590711805,17443.356953125,16470.249296875,16587.279755859374,17877.89674788047,14143.4501953125,18194.80078125,True,False,True,True,True,False,True,False,False,-1.6129475990242281,dry,,False,False,False,False,Index,Index,25.0,False,False
